state_code,LGD_ST_Code,state_name,district_code,LGD_Dist_Code,district_name,total_no_of_job_cards_issued,total_no_of_workers,total_no_of_active_job_cards,total_no_of_active_workers,sc_worker_percentage_against_acive_workers,st_worker_percentage_against_active_workers,approved_labour_budget,persondays_of_central_liability_so_far,sc_persondays_percentage_of_total,st_persondays_percentage_of_total,women_persondays_percentage_of_total,average_days_employment_per_household,average_wage_rate_per_day_per_person,total_no_of_HHs_completed_100_days,total_households_worked,total_individuals_worked,differently_abled_persons_worked,no_of_GPs_with_NIL_expenditure,total_no_of_works_taken_up_new_and_spillover,no_of_ongoing_works,no_of_completed_works,percentage_of_NRM_expenditure_in_MWC_blocks,percentage_of_category_B_works,percentage_expenditure_on_agriculture_and_allied_works,total_expenditure,wages,material_and_skilled_wages,total_admin_expenditure,district_normalized,Total_AWCs,Total_Children
14,1,JAMMU AND KASHMIR,1403,13.0,SRINAGAR,6912,10060,2597,4106,0,774,100000,85320,0,7955,15253,48,271.876438818565,4,1776,2098,6,0,242,227,15,58.86,7,58.42,278.73720604,231.9649776,21.54002844,25.2322,SRINAGAR,,
14,1,JAMMU AND KASHMIR,1404,2.0,BADGAM,83924,109999,59148,80362,76,1386,2671196,1756430,2920,17642,253242,44,276.140934566137,183,39256,45833,40,0,8062,7631,431,60.5,15,54.88,5469.161626832,4850.222217,412.974359832,205.96505,BADGAM,,
14,1,JAMMU AND KASHMIR,1405,11.0,PULWAMA,56633,79373,38850,56873,13,4111,1200000,1174022,173,41412,120482,45,278.71827317546,83,25654,31213,49,0,2920,2672,248,49.44,11,45.82,3698.13792818,3272.2138451,269.05612308,156.86796,PULWAMA,,
14,1,JAMMU AND KASHMIR,1406,1.0,ANANTNAG,109828,227119,84504,183848,71,10951,3791144,2924268,738,103229,976438,53,275.71577697735,896,54415,85329,177,1,10325,9404,921,72.48,3,68.95,9081.45300283402,8062.66823710002,783.285225734,235.49954,ANANTNAG,,
14,1,JAMMU AND KASHMIR,1409,4.0,DODA,97462,168664,90542,158898,12354,11440,3522100,3895016,283496,317046,2020922,53,272.129663362105,4215,72170,118503,410,0,32659,29223,3436,64.87,9,13.35,11635.5165122581,10599.4939287001,839.310883558,196.7117,DODA,,
14,1,JAMMU AND KASHMIR,1410,14.0,UDHAMPUR,63219,91021,34258,53040,14601,6558,500000,362692,88407,53489,103859,33,276.372850076649,259,10742,14372,34,5,5090,3666,1424,63.65,55,44.03,1327.445156916,1002.3822174,175.583519516,149.47942,UDHAMPUR,,
14,1,JAMMU AND KASHMIR,1411,10.0,POONCH,95685,168953,77746,136552,116,44067,2101200,1934702,1522,675580,892892,46,272.1248567583,496,41232,60853,190,0,19091,17349,1742,70.98,13,43.73,5766.90357488296,5264.80504619996,337.209128683,164.8894,POONCH,,
14,1,JAMMU AND KASHMIR,1412,12.0,RAJAURI,146682,237761,114390,193221,5697,61229,2600000,3925071,112670,1086623,1856674,53,289.397652931652,2333,73834,107284,321,1,48042,42641,5401,47.83,17,8.62,12090.7966000359,11359.0633499009,526.769310135,204.96394,RAJAURI,,
14,1,JAMMU AND KASHMIR,1413,5.0,JAMMU,61990,74162,36719,45502,12241,3775,1042253,590712,120518,53998,174471,37,284.314050823416,359,15556,17648,12,7,5673,3351,2322,70.65,29,56.38,2211.61152897102,1679.47721590002,384.788503071,147.34581,JAMMU,,
14,1,JAMMU AND KASHMIR,1414,7.0,KATHUA,72075,101682,43897,66574,14069,6871,660720,498941,107307,58766,171248,31,282.995877588732,355,15712,21193,40,1,8961,6376,2585,49.91,54,36.61,1697.9318062,1411.98246159999,117.0310146,168.91833,KATHUA,,
14,1,JAMMU AND KASHMIR,1415,620.0,KISHTWAR,63173,88086,59074,82464,3110,10753,2160453,2161328,76166,253937,1014648,42,283.08049339573,46,50555,55383,103,0,16395,15618,777,63.65,2,11.24,6637.16817427906,6118.29796630006,376.757837979,142.11237,KISHTWAR,,
14,1,JAMMU AND KASHMIR,1416,621.0,RAMBAN,54909,99597,35504,69882,1824,5222,500000,360697,9469,32452,124213,31,259.204288557987,97,11514,18094,35,0,10253,7835,2418,63.4,59,45.54,1129.32952285,934.942092700002,100.91506015,93.47237,RAMBAN,,
14,1,JAMMU AND KASHMIR,1417,627.0,REASI,56809,92146,34338,59296,3493,16719,500000,260464,14226,63782,109139,25,308.988188041341,40,10105,14767,503,1,5360,3612,1748,53.79,53,46.04,961.707041599997,804.802994099997,47.8723675,109.03168,REASI,,
14,1,JAMMU AND KASHMIR,1418,624.0,SAMBA,21756,31019,10209,15525,3725,1039,200000,161987,30746,13566,50922,39,264.806820794262,36,4050,5246,5,2,2342,1709,633,56.94,38,38.82,552.869577800001,428.952624800001,65.882723,58.03423,SAMBA,,
14,1,JAMMU AND KASHMIR,1419,623.0,BANDIPORA,44566,75041,27457,48743,25,6344,742370,533125,179,69163,127171,41,264.747632431422,28,12998,18439,35,0,2694,2133,561,29.45,41,25.72,1605.34278693002,1411.43581540002,100.62785153,93.27912,BANDIPORA,,
14,1,JAMMU AND KASHMIR,1420,626.0,GANDERBAL,37762,60857,27051,46241,4,10624,1164122,817111,144,199175,274917,49,266.185096627019,176,16446,23269,21,0,4467,4164,303,58.16,24,54.39,2385.0584672,2175.0277049,128.3162223,81.71454,GANDERBAL,,
14,1,JAMMU AND KASHMIR,1421,622.0,KULGAM,58676,117032,49807,102486,76,2300,3880371,2665094,1319,42199,761305,63,274.168767769542,1009,42095,70815,56,1,11297,10408,889,52.56,5,44.45,7822.48248352,7306.8553797,379.44806382,136.17904,KULGAM,,
14,1,JAMMU AND KASHMIR,1422,625.0,SHOPIAN,35213,38992,32642,36299,5,918,1100000,2081545,392,56403,245461,68,270.156869272587,1529,30250,31968,31,0,6680,6465,215,75.41,6,72.75,5933.98934244207,5623.43680450007,225.673387942,84.87915,SHOPIAN,,
15,29,KARNATAKA,1501,524.0,BAGALKOTE,278015,553164,141481,306239,52820,24032,3200000,2272373,340990,203752,1328627,29,326.709720534425,188,76450,126951,1727,0,21443,15017,6426,72.85,60,41.22,9604.88662383374,7424.06347779974,1567.440026034,613.38312,BAGALKOTE,,
15,29,KARNATAKA,1502,525.0,BENGALURU,62949,140426,5093,11096,2311,258,60000,22033,4986,657,11731,32,327.039454908546,5,681,1091,2,2,1618,1282,336,31.09,81,67.46,150.850559807,72.0566031,34.698136707,44.09582,BENGALURU,,
15,29,KARNATAKA,1503,526.0,BENGALURU RURAL,120899,259147,51874,119421,21029,7507,1200000,909701,117112,51528,460903,41,365.68474613087,142,21965,36617,405,0,10634,7253,3381,69.14,63,48.05,4847.28846102299,3326.63779239999,1210.974848623,309.67582,BENGALURU RURAL,,
15,29,KARNATAKA,1504,527.0,BELAGAVI,828626,1646146,373560,795079,91620,75146,8200000,6494078,741145,727614,4016780,31,347.389288379348,932,206395,296800,3342,0,73886,52560,21326,68.88,50,32.95,26575.9938116988,22559.7313509998,2856.554180699,1159.70828,BELAGAVI,,
15,29,KARNATAKA,1505,528.0,BALLARI,175948,484269,118724,332824,69235,98337,4200000,3314823,626236,1068992,1838273,34,283.520153323422,118,94866,198383,1948,0,10575,8723,1852,91.94,40,82.05,10328.9453932321,9398.19125200006,551.410461232,379.34368,BALLARI,,
15,29,KARNATAKA,1506,529.0,BIDAR,248025,447696,140361,264182,68305,48088,4000000,3355137,807134,627111,1853925,32,359.304307147516,149,102584,158426,500,0,54065,32877,21188,81.45,60,51.05,14709.748091991,12055.1517517,2055.726710291,598.86963,BIDAR,,
15,29,KARNATAKA,1507,530.0,VIJAYPURA,355176,773122,137522,288744,57344,5614,2900000,2106564,367342,48746,1122210,32,368.384831403181,162,65729,100746,896,2,43446,28660,14786,77.23,75,62.9,9046.1948735691,7760.2622398001,642.692553769,643.24008,VIJAYPURA,,
15,29,KARNATAKA,1508,531.0,CHAMARAJA NAGARA,226400,513598,101166,235959,68932,25653,1650000,1333737,402819,132682,779024,29,373.723770128593,76,45812,70962,404,0,21576,16366,5210,67.76,71,28.28,6130.950339784,4984.4922,803.158879784,343.29926,CHAMARAJA NAGARA,,
15,29,KARNATAKA,1509,532.0,CHIKKAMAGALURU,180005,397717,87936,212475,39532,8012,1900000,1660776,236238,62447,888351,40,362.913801337448,343,41188,72884,134,0,26965,14301,12664,78.06,69,60.29,7607.51796912801,6027.18531330001,1100.014505828,480.31815,CHIKKAMAGALURU,,
15,29,KARNATAKA,1510,533.0,CHITRADURGA,337051,780286,164642,390043,81311,83742,3800000,2598519,532276,589675,1447548,32,364.897643184444,204,80721,129924,308,0,48217,33245,14972,74.26,62,46.02,12175.143327476,9481.93458869999,2092.230828776,600.97791,CHITRADURGA,,
15,29,KARNATAKA,1511,534.0,DAKSHINA KANNADA,173523,362075,58673,135033,8821,9019,1000000,714973,27043,36728,377199,43,365.412146906247,238,16290,27722,57,0,18238,10548,7690,70.45,90,78.37,3242.170659009,2612.5981891,347.762059909,281.81041,DAKSHINA KANNADA,,
15,29,KARNATAKA,1512,535.0,DAVANAGERE,241851,528657,113357,266278,62032,41833,2100000,1682041,405132,305048,894176,33,363.495917596541,206,49937,84655,276,0,15604,11483,4121,72.42,68,40.23,7965.15900533903,6114.15036730004,1353.684088039,497.32455,DAVANAGERE,,
15,29,KARNATAKA,1513,536.0,DHARWAR,172982,405565,77723,199680,17467,13474,1550000,1267399,112303,82152,614291,31,365.012172259877,172,40448,70450,186,0,27193,15861,11332,67.34,67,45.63,5749.89048760696,4626.16062109996,867.891136506999,255.83873,DHARWAR,,
15,29,KARNATAKA,1514,537.0,GADAG,169476,395454,118455,297866,52352,24856,2300000,1276672,211365,113889,633979,20,343.390698370456,24,61410,126918,1013,0,16646,12435,4211,73.36,69,61.21,5522.67383655306,4383.97289670006,782.976009853001,355.72493,GADAG,,
15,29,KARNATAKA,1515,538.0,KALABURAGI,430940,855198,228681,468136,119448,9636,4000000,2974117,730510,62905,1649803,22,346.285938280168,106,130210,220008,529,1,45612,25727,19885,84.94,63,49.21,12207.587722961,10298.948959,1123.713293961,784.92547,KALABURAGI,,
15,29,KARNATAKA,1516,539.0,HASSAN,282012,633544,151767,365002,61200,6300,3000000,2194461,306311,38570,1130488,35,373.281454120172,446,61458,111832,324,3,44978,29083,15895,61.21,70,38.62,11794.1697036321,8191.51593090007,2993.448912732,609.20486,HASSAN,,
15,29,KARNATAKA,1517,540.0,HAVERI,291510,635771,143463,347405,49911,40901,3000000,1753132,286966,272729,878455,30,359.910323883204,164,57327,102749,853,0,25659,18007,7652,68.8,55,30.32,9228.09653543508,6309.70305930009,2258.808426135,659.58505,HAVERI,,
15,29,KARNATAKA,1518,541.0,KODAGU,87740,189483,23500,55389,5426,2672,360000,244072,17597,10144,120107,36,350.818894916254,41,6729,11230,68,2,5489,3844,1645,67.21,77,62.02,1132.242633717,856.2506932,122.551520517,153.44042,KODAGU,,
15,29,KARNATAKA,1519,542.0,KOLAR,246078,576635,117695,287980,76287,19741,2800000,2762724,699217,169398,1520306,43,368.93556758837,608,63368,97960,1201,1,27733,19909,7824,65.99,54,42.07,13692.8474570751,10192.6714703001,2792.870646775,707.30534,KOLAR,,
15,29,KARNATAKA,1520,543.0,KOPPAL,327987,772124,224668,515406,86560,72354,6100000,5387352,901714,776330,2867118,31,317.518840718054,324,173165,357608,3172,0,33861,25953,7908,83.91,57,41.74,19157.1825822519,17105.8576158009,1392.029196451,659.29577,KOPPAL,,
15,29,KARNATAKA,1521,544.0,MANDYA,340720,723672,119692,286852,33583,1970,1900000,1522799,173878,7968,940140,30,365.987322607913,143,49932,74090,278,0,25632,17510,8122,69.18,70,64.48,6996.53587585007,5573.25128880007,876.741117050001,546.54347,MANDYA,,
15,29,KARNATAKA,1522,545.0,MYSURU,350364,842167,119212,301090,57763,35428,1750000,1567889,295943,184443,811336,37,374.310824873448,389,42069,73774,141,1,31748,21886,9862,56.66,77,33.52,7761.49222554506,5868.77824900006,1353.863316545,538.85066,MYSURU,,
15,29,KARNATAKA,1523,546.0,RAICHUR,381577,784458,283101,592740,111215,140223,8100000,6148644,1104079,1526628,3333976,30,288.458218976409,316,198803,373952,923,0,46921,31139,15782,74.73,53,44.76,20807.9026389058,17736.2689735998,2662.578225306,409.05544,RAICHUR,,
15,29,KARNATAKA,1524,547.0,SHIVAMOGGA,250796,571150,134584,344978,78172,17222,2000000,1726094,388762,94310,968163,26,346.269933120675,111,66083,109312,444,0,13473,8741,4732,71.78,68,40.19,7315.75110066498,5976.94453939998,770.850481265,567.95608,SHIVAMOGGA,,
15,29,KARNATAKA,1525,548.0,TUMAKURU,404383,878505,200894,471041,73072,38736,4200000,3945530,567696,332036,2014037,40,369.546029767864,936,97470,167681,513,0,71426,43473,27953,74.33,73,31.31,19784.516916805,14580.5494683,4404.48538850501,799.48206,TUMAKURU,,
15,29,KARNATAKA,1526,549.0,UDUPI,127021,257317,42587,100455,5425,5575,550000,441097,19491,20875,293276,33,370.416871504454,131,13197,21505,29,0,11557,9273,2284,71.54,89,77.85,2211.189218298,1633.8977077,361.372900598,215.91861,UDUPI,,
15,29,KARNATAKA,1527,550.0,UTTARA KANNADA,206424,455185,79982,200783,12971,7100,1180000,930536,52993,30899,501582,28,360.339479504285,98,32326,53450,102,0,20957,14440,6517,61.49,75,35.35,4230.69672166199,3353.08857899999,544.906072662,332.70207,UTTARA KANNADA,,
15,29,KARNATAKA,1528,630.0,CHIKKABALLAPURA,218470,506119,110692,266960,59374,37067,2200000,1589624,325481,213253,852857,36,366.327640945283,460,43665,73163,1490,0,23918,16806,7112,68.79,64,33.65,7849.08766433604,5823.23209910004,1593.397035236,432.45853,CHIKKABALLAPURA,,
15,29,KARNATAKA,1529,631.0,BENGALURU SOUTH,199345,416324,120242,263328,40351,4267,2800000,1322790,201552,21012,735776,34,371.30736802516,123,38696,60956,143,1,33843,21266,12577,69.07,79,46.85,6569.35599930802,4911.61673350002,1255.000045808,402.73922,BENGALURU SOUTH,,
15,29,KARNATAKA,1530,635.0,Yadgir,270925,523631,139650,266641,54900,32632,3200000,2164569,384318,288826,1202161,26,349.360251343343,80,82675,127288,575,0,32518,18484,14034,92.73,69,61.7,7901.86076086708,7562.14369890008,339.717061967,0.0,YADGIR,,
15,29,KARNATAKA,1531,738.0,VIJAYANAGARA,256970,648923,174416,450214,112000,92442,4800000,4427593,1023555,1076939,2325325,38,326.103467708076,461,114935,214822,1242,0,19020,14024,4996,78.0,50,27.17,17217.929103138,14438.534309,2779.394794138,0.0,VIJAYANAGARA,,
16,32,KERALA,1601,558.0,KASARGOD,176659,255122,103479,160469,9832,24340,2410509,3065053,176931,522616,2781433,49,377.812010699325,3967,61841,69536,85,0,20996,14283,6713,87.06,49,39.23,13089.262817943,11580.1383683,778.778379642999,730.34607,KASARGOD,,
16,32,KERALA,1602,557.0,KANNUR,272757,377523,124961,186030,8173,13508,3063300,3423440,132781,287320,3207002,45,372.807467345711,3822,75613,81011,91,0,25268,17595,7673,87.88,40,33.33,14601.289091392,12762.8399601,898.080301291999,940.36883,KANNUR,,
16,32,KERALA,1603,567.0,WAYANAD,161234,264714,83857,144519,6592,47763,2266870,3112822,141897,1391022,2764695,57,393.725129284617,8819,54282,62606,71,0,16972,11984,4988,82.72,39,33.51,14458.68948486,12255.9624439,1411.31228096,791.41476,WAYANAD,,
16,32,KERALA,1604,561.0,KOZHIKODE,363637,537633,186656,297466,36542,3963,5646014,7390991,895104,123271,6756883,58,368.897673799101,8261,125560,137264,177,0,34734,24756,9978,88.91,31,34.75,31121.1940492129,27265.1938697009,2180.529279512,1675.4709,KOZHIKODE,,
16,32,KERALA,1605,562.0,MALAPPURAM,438862,630935,140856,228358,58512,5653,3097322,3842117,1294321,148933,3302402,53,372.551161596588,6568,71670,80328,195,0,34259,22136,12123,76.41,60,21.41,16457.229174665,14313.8515134,1231.670451265,911.70721,MALAPPURAM,,
16,32,KERALA,1606,563.0,PALAKKAD,424363,576293,207574,299851,83111,20896,4108993,3996977,1198563,529044,3524426,31,386.544657902704,2054,127519,141476,180,0,50357,31554,18803,76.19,60,57.97,18126.7171245288,15450.1010710998,1453.398703429,1223.21735,PALAKKAD,,
16,32,KERALA,1607,566.0,THRISSUR,356134,437053,146320,193809,46869,2439,2540315,3406159,1069973,56767,3059357,51,369.258171888042,7951,65537,70887,186,0,26194,17947,8247,83.8,50,37.1,14166.946883223,12577.520455,717.926138223,871.50029,THRISSUR,,
16,32,KERALA,1608,555.0,ERNAKULAM,275477,386489,100442,154142,30064,2758,2337548,3236521,641017,53207,2916474,58,368.74243373054,8470,55785,60024,89,0,23474,15472,8002,74.73,42,57.96,13461.375201,11934.4263036,784.0278974,742.921,ERNAKULAM,,
16,32,KERALA,1609,556.0,IDUKKI,209416,350291,120664,213728,24806,23499,2890101,3845817,433410,599025,2876327,46,376.073484328559,5397,82072,105366,85,0,25333,12843,12490,88.79,34,64.54,16249.866025222,14463.0979928,912.634552422,874.13348,IDUKKI,,
16,32,KERALA,1610,560.0,KOTTAYAM,212639,297477,80040,122229,18715,4189,1886718,2297948,324622,85647,2131610,50,371.560407058819,4403,45763,49408,28,0,17957,11451,6506,82.18,47,47.44,9733.21085837499,8538.26494279999,599.310675575,595.63524,KOTTAYAM,,
16,32,KERALA,1611,554.0,ALAPPUZHA,268151,397264,172319,271948,42634,1082,5712217,5314872,778094,29194,4907161,41,373.70908752459,2602,126680,137137,328,0,32495,22173,10322,80.54,34,61.48,22897.9404886519,19862.1596542999,1691.948384352,1343.83245,ALAPPUZHA,,
16,32,KERALA,1612,564.0,PATHANAMTHITTA,167683,260738,63350,110517,33265,2127,1645663,2192230,620090,39647,1949388,53,367.026739265493,2373,40769,45244,85,0,14361,10149,4212,90.84,41,56.07,9023.29032920692,8046.07028619992,498.542173007,478.67787,PATHANAMTHITTA,,
16,32,KERALA,1613,559.0,KOLLAM,410548,595120,190812,301315,57965,2323,5285293,6978226,1394189,75721,6082398,57,368.24652493055,14860,120368,131133,250,0,35549,20796,14753,90.53,36,65.6,28434.6418875951,25697.0747468001,1396.257830795,1341.30931,KOLLAM,,
16,32,KERALA,1614,565.0,THIRUVANANTHAPURAM,403152,573381,217571,330332,56085,7735,7109137,8492366,1443564,259624,7577925,56,367.818381315642,13434,150635,162955,162,0,40332,27907,12425,87.13,43,52.09,35838.8389006569,31236.4831565999,2920.409284057,1681.94646,THIRUVANANTHAPURAM,,
17,23,MADHYA PRADESH,1701,417.0,MORENA,356676,444720,259032,320776,41991,4798,5947125,10390460,1212526,140526,4289552,57,258.436990350763,9040,179632,190931,351,5,15552,12116,3436,95.43,34,56.95,33331.2262634599,26852.7921075999,5849.01986586,629.41429,MORENA,,
17,23,MADHYA PRADESH,1702,395.0,BHIND,168482,279095,76843,105407,20027,234,1228021,699387,115148,2569,285190,31,242.418724554502,25,21924,24568,56,28,11883,10749,1134,73.62,55,52.19,2017.76588152599,1695.44504509999,38.178736426,284.1421,BHIND,,
17,23,MADHYA PRADESH,1703,407.0,GWALIOR,115618,222265,52149,85721,15933,10009,946547,1150423,186452,123914,356748,42,257.024574752067,208,27224,33846,187,0,16554,14093,2461,71.53,69,47.58,4552.19977249884,2956.86982359997,1183.69804889887,411.6319,GWALIOR,,
17,23,MADHYA PRADESH,1704,401.0,DATIA,84479,152136,41424,73077,19522,2932,1059767,731729,200525,14347,256077,38,259.660798765664,12,18994,24809,94,0,10684,8704,1980,55.33,70,43.61,2828.19221485001,1900.01336620001,561.95829865,366.22055,DATIA,,
17,23,MADHYA PRADESH,1705,432.0,SHIVPURI,352241,651606,216986,377575,62242,79649,4614343,4945491,783311,1204268,1925453,41,254.049042107241,320,120387,163551,568,0,68546,45916,22630,54.52,89,38.03,15880.7858898338,12563.9725129998,2532.080796834,784.73258,SHIVPURI,,
17,23,MADHYA PRADESH,1706,406.0,GUNA,217096,447839,119483,251170,31627,55826,2445839,3500276,458305,666018,1172882,49,256.696529767938,650,71003,97683,358,0,42661,33979,8682,64.03,90,37.14,11415.897289922,8985.08702429998,1820.785935622,610.02433,GUNA,,
17,23,MADHYA PRADESH,1707,434.0,TIKAMGARH,141185,250369,82133,150259,25594,15005,2166007,1488152,265206,109391,550917,36,257.2694305958,40,40497,59394,175,0,22364,18506,3858,63.26,77,26.43,5279.999928785,3828.5601768,963.680231985,487.75952,TIKAMGARH,,
17,23,MADHYA PRADESH,1708,398.0,CHHATARPUR,253504,479096,143011,277220,54432,16805,3422953,3735035,627220,218839,1214093,47,253.426550549056,282,78846,111439,581,3,36849,20649,16200,65.14,75,43.68,12062.3135982589,9465.57036229992,1725.828015959,870.91522,CHHATARPUR,,
17,23,MADHYA PRADESH,1709,420.0,PANNA,178556,363690,113564,238345,45596,39100,2838009,2628867,434981,417388,1041891,44,252.624646081369,203,58559,89596,355,0,22339,17724,4615,75.83,78,56.44,9140.38551560689,6641.16595469989,1864.947230907,634.27233,PANNA,,
17,23,MADHYA PRADESH,1710,425.0,SAGAR,305035,524708,159353,275099,39987,35367,2714044,3058132,439299,356678,992714,40,252.158433955762,246,76210,105137,336,8,41447,32112,9335,64.57,85,46.44,11711.907142589,7711.33775950003,2973.148083089,1027.4213,SAGAR,,
17,23,MADHYA PRADESH,1711,400.0,DAMOH,291494,478566,170583,289192,44359,41389,4318642,4959645,711008,744143,1812966,48,256.949782839292,2099,102795,135481,614,0,33368,27534,5834,79.06,76,61.49,16242.1363009288,12743.7970570998,2814.039283829,684.29996,DAMOH,,
17,23,MADHYA PRADESH,1712,426.0,SATNA,228526,423774,134758,250220,46560,49730,2794547,2384965,426944,438761,916083,40,243.580504317674,131,58497,81828,325,0,30720,23364,7356,52.38,76,41.94,7709.110600246,5809.3097748,1054.058045446,845.74278,SATNA,,
17,23,MADHYA PRADESH,1713,424.0,REWA,270068,520384,147785,275592,48229,42814,1987214,2672377,455780,357924,1022797,40,237.387038737422,187,66608,91291,259,0,38722,27278,11444,48.06,77,39.64,8257.35964291895,6343.87662419995,783.533798719,1129.94922,REWA,,
17,23,MADHYA PRADESH,1714,429.0,SHAHDOL,161769,302599,123168,244123,35330,135099,3002508,2853660,370795,1642882,1456928,38,221.811481472914,1025,74180,117015,1709,1,27655,18558,9097,78.65,85,71.45,8823.20976474696,6329.74552219996,1926.382012547,567.08223,SHAHDOL,,
17,23,MADHYA PRADESH,1715,433.0,SIDHI,183875,293917,137687,222859,33790,64965,3390454,3087681,444637,866553,1378792,42,241.467064385856,402,71985,101633,347,0,31236,24365,6871,59.41,81,43.96,9047.65599655185,7455.73266829985,1099.829158252,492.09417,SIDHI,,
17,23,MADHYA PRADESH,1716,416.0,MANDSAUR,181073,380664,104169,225937,45818,10440,2424375,3061516,622564,118541,1141922,47,259.203929357221,288,63787,95813,278,0,35168,28751,6417,59.45,82,28.28,10374.554867934,7935.5697699,1888.796418034,550.18868,MANDSAUR,,
17,23,MADHYA PRADESH,1717,423.0,RATLAM,199405,418569,117549,260994,72217,79256,2255098,2996390,811032,933324,1159976,48,250.029477995188,505,62386,98443,433,0,44456,25075,19381,44.9,92,26.92,9704.99701104,7491.8582757,1560.12496534,653.01377,RATLAM,,
17,23,MADHYA PRADESH,1718,435.0,UJJAIN,163816,389319,94021,226547,78556,20051,2506744,2942986,1135792,261766,1151884,48,250.719602930493,266,61239,98724,561,0,40872,25641,15231,35.64,90,23.52,8983.92571957199,7378.64281349999,712.447396072,892.83551,UJJAIN,,
17,23,MADHYA PRADESH,1719,430.0,SHAJAPUR,117813,204990,67046,122812,26066,15943,931783,1866149,399781,219495,667876,48,258.874699179971,149,38357,55941,270,0,22901,12360,10541,48.22,87,38.44,6191.33492422703,4830.98761000003,833.677464226999,526.66985,SHAJAPUR,,
17,23,MADHYA PRADESH,1720,402.0,DEWAS,174044,357831,104848,214626,42159,50213,1959633,3099692,589037,778466,1024580,50,248.218460959992,462,61376,87892,458,2,36857,30245,6612,55.67,91,38.15,9334.82020206699,7694.00777689999,886.426325167,754.3861,DEWAS,,
17,23,MADHYA PRADESH,1721,412.0,JHABUA,220470,461064,153338,334468,15278,298939,3056958,2677921,92167,2422942,1203258,36,258.723242840244,319,72449,129052,1414,0,38347,29783,8564,65.36,83,33.7,9375.01326070988,6928.40405189988,1937.54547881,509.06373,JHABUA,,
17,23,MADHYA PRADESH,1722,403.0,DHAR,335228,705576,221532,470280,48570,317984,5068262,5791930,561049,3978860,2348359,48,250.157238739073,2053,120640,189185,1510,0,74200,56862,17338,53.26,86,30.95,20545.308260079,14488.9321577,4958.312662379,1098.06344,DHAR,,
17,23,MADHYA PRADESH,1723,410.0,INDORE,72564,140150,38036,75020,13569,18365,562081,817631,173230,237738,302739,44,255.881934197701,57,18472,25676,85,1,13922,11514,2408,49.17,80,38.67,2887.10686518101,2092.17001740001,319.309937781,475.62691,INDORE,,
17,23,MADHYA PRADESH,1724,414.0,KHARGONE,313932,634239,195895,395617,46056,195735,5020905,5062050,564661,2607117,1973798,47,256.260073203543,1640,106287,160708,734,0,57349,31709,25640,57.58,89,34.88,16851.7798957579,12972.0130356,2963.18024015795,916.58662,KHARGONE,,
17,23,MADHYA PRADESH,1725,405.0,KHANDWA,202582,477669,134913,331229,26305,111413,2740425,3571536,291025,1167089,1590664,41,259.965541419712,1004,86897,157471,884,1,40623,33862,6761,73.02,89,46.18,12240.5994880289,9284.76289939992,2342.200528629,613.63606,KHANDWA,,
17,23,MADHYA PRADESH,1726,422.0,RAJGARH,286421,532480,193084,370649,58809,11070,3875648,4874737,689015,137102,1974264,41,259.553187780178,564,116884,188814,1178,0,39623,23490,16133,75.65,78,31.94,18434.4120522478,12652.5352793998,4915.816442848,866.06033,RAJGARH,,
17,23,MADHYA PRADESH,1727,437.0,VIDISHA,233952,343643,127827,194659,33417,14726,2317992,2932420,509357,167312,934393,41,256.535809883984,105,69887,90211,217,0,38750,24393,14357,53.58,85,43.99,9349.68494106892,7522.70739619992,1000.030884869,826.94666,VIDISHA,,
17,23,MADHYA PRADESH,1728,396.0,BHOPAL,75808,125468,46557,77427,12921,4349,1316091,1171639,191466,62147,452302,43,251.211126046505,73,26978,36622,170,0,13721,9765,3956,61.76,84,46.12,4300.57231596401,2943.28752510001,1043.771820864,313.51297,BHOPAL,,
17,23,MADHYA PRADESH,1729,427.0,SEHORE,152087,292211,78578,156588,39876,24841,1298992,2389196,597865,342351,873431,48,256.849956516751,156,49491,77489,300,0,34194,26363,7831,45.66,89,34.82,7506.56750771796,6136.64888709996,678.135430618,691.78319,SEHORE,,
17,23,MADHYA PRADESH,1730,421.0,RAISEN,176350,285812,94965,168333,29305,30916,1482319,2879288,477098,502774,1102811,42,254.590171365288,514,67525,100947,360,0,33591,23814,9777,66.8,88,56.5,9454.33400666617,7330.38425330017,1404.160473366,719.78928,RAISEN,,
17,23,MADHYA PRADESH,1731,394.0,BETUL,219366,505152,161042,388265,55213,206141,3802500,3020926,364037,1536131,1480270,34,256.781343740297,700,86463,139566,2089,0,34457,28202,6255,71.37,82,55.76,10358.649739474,7757.1743762,1796.270593274,805.20477,BETUL,,
17,23,MADHYA PRADESH,1732,409.0,NARMADAPURAM,106241,207889,53053,112786,22060,33635,1074991,1300531,247220,352520,452119,45,247.345603126722,133,28452,41455,249,0,25373,21298,4075,27.21,82,21.39,4146.00025203899,3216.80624579999,286.349986239,642.84402,NARMADAPURAM,,
17,23,MADHYA PRADESH,1733,411.0,JABALPUR,166341,322791,104682,208127,41203,69056,2166618,2105576,381767,655024,949364,39,256.25095779017,129,52992,78515,536,0,31128,20229,10899,36.1,83,22.76,6767.41713083395,5395.55866699995,593.484933834,778.37353,JABALPUR,,
